标题,开头,准备,穿搭,住宿,交通,注意,景点,预约,美食,行程,费用,结尾,标签,网址
图8也太过分了吧🤪,去云南就要自由行🤒,,,,,,,,,第❶天：直飞丽江三义机场✈️，民航大巴到古城25💰，接机80💰/趟，入住丽江古城内花园民宿300💰，下午就在古城逛逛，👫喝杯咖啡，听听民谣，✨晚上逛逛夜景，吹吹晚风，很舒服👍..第❷❸天：丽江出发泸沽湖安排2天1夜商务车纯玩小团，2天全部费用500多，☁️白天环湖兜风，吹山风，✌️划船登岛，🍀看日出，乘彩色木船游湖，👣徒步走婚桥，到女神湾看一次日落，晚上去村里参加篝火晚会🔥，✌️泸沽湖的夜晚漫天繁星，很治愈👍..第❹❺天：丽江出发香格里拉，北北家商务车纯玩旅拍小团，2天花费500多，摄影师带着边拍边玩，到虎跳峡看山洪，去纳帕海伊拉草原，🌸看山花浪漫，☁️下午就逛逛独克宗古城，转动世界上最大的转金桶，✌️最后一天出发普达措公园，走进森林，聆听虫鸣鸟叫🤔..第❻天：跟玉龙雪山一日游出发冰川公园，看白雪皑皑，乘缆车到4506m。👉徒步到海拔4680m，☁️下山之后在蓝月谷逛逛蓝色的湖面波光粼粼✨，沿着蓝色的河，🌈散步逛逛就很舒服..第❼天：睡到自然醒，乘动车到大理，入住大理古城民宿，安顿好逛逛古城，✌️喝杯奶车，找个咖啡馆，看看流云☁️听听民谣，大理的节奏很慢，很舒服👍..第❽天 ：定彩色吉普车旅拍268💰，开车兜风环海，摄影师带着边拍边玩，行驶在环海路上，到喜洲看麦田，喝咖啡到s湾骑行，👣到双廊等一场粉红色的日落，风花雪月就在环海路上，👫入住海景房，看看晚霞，很惬意☁️..第❾天：返程回家从大理乘动车到昆明返程回家✈️,,旅行策划🤔云南旅游策划师北北👍..🌈自由行才好玩，云南的紫外线很强，千万记得防晒,#大理旅行#旅游#朋友圈#朋友圈文案#云南游#泸沽湖#玉龙雪山#每秒都值得记录#香格里拉#洱海#丽江古城#大理古城#旅行随手拍,https://www.xiaohongshu.com/explore/648e85b20000000007039b3f
忘记屏蔽朋友圈了😂,云南旅游、云南旅游攻略、大理旅行👍✌️蓝天、白云、漫山的野花、波光粼粼的海，民谣和故事，这就是云南。,,,,,,,,,第❶天:直飞丽江✈️，提前安排好免费接机‼️入住古城民宿👍，下午就去丽江古城🌸满城的鲜花和民谣，伴着小桥流水，喝杯咖啡，沿着石板路散散步✌️，看看晚霞，喝杯咖啡，听听民谣👍..第❷天：登上海拔4680m，看一场云海，看白雪，感受祖国山河的波澜壮阔⛰️，🍀看一场张艺谋导演的实景舞台剧印象丽江，午餐之后逛逛蓝月谷，闪闪发光的蓝色湖面☁️，仿佛是星星坠入了人间✨..第❸❹天：到虎跳峡看山洪，👫到纳帕海草原看成群的牛羊，漫山遍野的野花盛放，✌️在辽阔的草原吹吹风，👣徒步走进普达措森林公园，听雨滴滴答答落在森林深处，感受自然万物，晚上逛逛独克宗古城，转动世界上最大的转金桶，许个愿望🌈..第❺天 ：听一首许巍的歌，去洱海兜风环海，☁️看阳光穿过云层照耀在海面，在路上走走停停，去s湾骑行，到双廊吹吹海风☁️，傍晚等一场浪漫的日落，到圣托里尼看橘色的洱海，✨夜晚看看漫天的繁星，大理的时光很惬意🌳..第❻天：喝杯奶茶逛逛古城，品尝一口香甜的鲜花饼，大理的酸奶很好喝🤔，下午去拍免费赠送的旅拍👍,费用💰7天6晚，大理丽江香格里拉，👍含7晚住宿和吃住行游玩的费用只要1000+💰，赠送丽江古城旅拍+大理洱海旅拍👍,🌈在一场场风景里，一段段旅途中，我们的内心会变得更加从容✨,#丽江古城#玉龙雪山#香格里拉#洱海#大理古城#云南游#浪漫生活记录者#无滤镜旅行#旅途中的美景,https://www.xiaohongshu.com/explore/6487eb7f0000000013012960
香格里拉旅游｜穷游攻略一篇讲全👉人均900➕,香格里2⃣️天1⃣️晚旅游攻略来喽～📋主要包含一下内容👇👇👇▶️香格里拉打卡景点▶️2天1晚行程安排▶️穿藏服拍照指南▶️交通指南▶️香格里拉旅游注意事项,,,,✅香格里拉交通ㅤ▶️丽江古城——虎跳峡🚗拼车：在小📕红书上找的ㅤ▶️虎跳峡——普达措🚗拼车：在小📕红书上找的ㅤ▶️松赞林寺——独克宗古城🚗滴滴：距离很近，几块钱就到了ㅤ▶️ 独克宗古城——龟山公园🏃‍♀️步行：这个走路就可以到，不需要交通工具ㅤ▶️ 龟山公园——纳帕海（伊拉草原）🚌公交：先坐车🚗起步价到红太阳广场上车12路，或者叫车也可以拼车，这个比较自由ㅤ▶️香格里拉——丽江站🚗拼车：迪庆交运GZH买票75💰,✅香格里拉注意事项ㅤ1⃣️高原反应/昼夜温差备一瓶氧气🉑️，从丽江到香格里拉尽量不要睡觉🥱，刚到那天晚上不要洗头，洗了就很容易高反；温差大要准备一件冲锋衣🧥ㅤ2⃣️买东西咱们是穷游，🙅不要买法器，🙅‍♂️不要买藏红花，不要买冬虫夏草🌿，这些东西你不要碰，碰了要你半条命，时刻记住：你没💰ㅤ3⃣️做好防🧴晒紫外线太强了，也要做好防🧴晒，带帽子，墨镜🕶️，一样都不能少～ㅤ4⃣️文化尊重这里是离天堂蕞金的地方，这里佛教圣🙏地，大家喜欢一个东西不要用一个手指去🈯️,✅打卡景点📍虎跳峡📍普达措📍独克宗古城📍龟山公园📍月光广场📍松赞林寺📍纳帕海（伊拉草原）,,,✅行程安排👉DAY 1：丽江古城——虎跳峡——普达措——独克宗古城🏯ㅤ👉DAY2：独克宗古城——龟山公园⛲️——松赞林寺——纳帕海🌊/伊拉草原——丽江站,✅穿藏族服装拍照ㅤ1️⃣只租服装：20～60💰2️⃣服装➕化妆：100💰3️⃣服装➕化妆➕拍照：299💰⚠️这个是区分等级的，大家可以按自己的需求，我的建议是只租服装➕化妆，自己拍照就可以了😌，咱们要物尽其用，早上租好服装先在独克宗拍照，拍完了可以去松赞林寺拍照📷，然后下午去纳帕海🌊/伊拉草原拍照，,📍总要去一趟香格里拉吧一个缺氧但不缺信仰的地方当二天藏族小卓玛,#香格里拉#香格里拉旅游#香格里拉旅游攻略#香格里拉独克宗古城#香格里拉松赞林寺#云南旅游攻略#浪漫生活的记录者,https://www.xiaohongshu.com/discovery/item/6486916a00000000110127af
3000¥｜大学生7天6晚穷游云南旅游攻略,昆明-大理-丽江-香格里拉都去了，这么详细的攻略还不来看吗？,,,,,,,,,,,具体的美食、住宿等攻略可以看主页，真实的游玩真诚的分享,#云南#旅游#大理#丽江#香格里拉#穷游#攻略#美食#旅行攻略#云南游#自由行,https://www.xiaohongshu.com/explore/648a043b0000000013034a66
刚从云南回来，熬夜整理的超全的旅行攻略,喜欢旅行的姐妹，云南一定是你旅游清单之一吧去之前，请先收藏下这份攻略,,,,,✅游玩必读1️⃣昆明可以作为首选，飞机航班多，机票相对便宜，作为云南的交通枢纽，可以很好的安排游玩路线！2️⃣滇池11-3🈷️去，其他时间只能看湖景3️⃣北海湿地4-5🈷️很美4️⃣住宿尽量选择吃住行方便的地方，但一定要提前订好，不然房价上涨或者没房都是常事,📷必打卡：1️⃣大理双廊古镇，崇圣寺三塔，大理古城，洱海2️⃣丽江玉龙雪山，蓝月谷，丽江古城，束河古镇，泸沽湖3️⃣香格里拉独克宗古镇，普达措国家公园，梅里雪山，虎跳峡4️⃣西双版纳星光夜市，中科院植物园，曼听公园，原始森林公园，野象谷，傣族园5️⃣芒市金银塔，新玩厂，勐娜珍稀植物园6️⃣昆明滇池，石林景区,,,,云南的景点非常分散，交通换乘很麻烦，第一次去玩的可以找一个住行门票全包的靠谱当地团，6天人均1400起，8天1700起，性价比很高，关键是省心省💰,如果不是第一次，建议自由行就好，提前把旅游线路规划好，慢慢的坐下来玩一玩，去追追风，看看洱海3️⃣还有其他想了解的欢迎留言～,#大理旅行#云南旅行#旅行规划,https://www.xiaohongshu.com/explore/64896da800000000130158e2
云南旅游七天花了1680💰好划算‼️,☀️夏天云南旅游，淡季出行景美人少，1680是单纯用车吃饭景点玩乐，不包括飞机往返❗️,,1️⃣关于天气穿搭6到9月，温度15-27度，正常夏装，带长裙拍照好看，云南紫外线☀️强，做好护肤防晒，但雨季偶尔阴雨天，备好雨具,5️⃣关于住宿丽江住古城民宿，南门附近交通便利大理住古城客栈，情侣住海景房🖼,2️⃣关于交通直飞✈️丽江，再去大理，最后昆明返程回家丽江到大理，可乘动车80💰，2.1小时大理到昆明，动车145💰，1.5小时,,4️⃣自由行玩法①逛逛丽江古城夜景，看免费的篝火晚会，听民谣，许愿河灯许个小心愿😝②登玉龙雪山，看☀️日照金山，雪山云海③去香格里拉依拉草原穿上藏服当🧝‍♀️卓玛姑娘④去蓝月谷看蓝色的湖水，拍拍汉服大片📷⑤逛逛大理古镇，傍晚登五华楼看看夜景，小酒馆听听民谣🎵⑥住晚海景房，环海吹吹风，海东看晚霞🌇,,,3️⃣自由行7天路线第①天：飞丽江，逛逛古城，住古城民宿第②天：丽江前往泸沽湖，划船环湖，住泸沽湖第③天：里格半岛，划船草海，回丽江第④天：玉龙雪山，蓝月谷，下午逛逛束河古镇，住古城第⑤天：喜洲古镇，磻溪S海湾，环洱海，住洱海边第⑥天：大理古城，环洱吉普车旅拍第⑦天：返程回家,6️⃣七天六晚结束花：👉https://www.xiaohongshu.com/user/profile/5cb830c30000000016023164云南旅游建议自由行，到当地报纯玩，2-12纯玩不踩坑，7天6晚人均1680💰，旅途快乐简单~,关于云南旅游，不懂就问，有问必答,#不懂就问有问必答#云南旅游攻略#云南旅游#云南游#笔记灵感#周末去哪儿#大理旅行#丽江旅行#大理#香格里拉旅行,https://www.xiaohongshu.com/explore/64886dac000000000800f8fd
第三次去西双版纳🌿整理了一份三天两夜攻略,三年没来云南了，在纠结芒市，西双版纳和大理哪里作为云南第一站时，和朋友一拍即合选择了被水果和植物包围的西双版纳。-西双版纳很神奇，和它的天气一样，每天都有不同的惊喜，神奇的植物、水果、服装和民族…来这里三次了，每次都能找到不同的机位拍照，日均两万步整理了一份三天两晚攻略～,,,🏨住宿攻略最近是版纳淡季，可以住在告庄西双景附近，去哪儿都方便！,,🌈游玩tips：▪️不知道怎么玩的强烈推荐报一日游团！除了有导游讲解还能一站式全包，最关键是不用自己排队买门票，性价比很高！▪️最近是版纳雨季，一会儿晴一会儿雨，建议出门多带双鞋也随身带雨具（除了挡雨，还能挡紫外线）▪️租傣服拍照多对比几家，不要听信路边拉客的，自己去看，很多会有隐形消费，问清楚再拍！▪️很多地方都有泼水活动，选择一处去看即可（泼水广场最出名）▪️中科院植物园晚上有萤火虫观赏，喜欢的朋友可以在那里过夜▪️篝火晚会在勐巴拉娜西大剧院和曼听公园都有，选一个离自己最近的去就好！▪️去寺庙不要穿不过膝的裤子和暴露的衣服！▪️星光夜市啥都比外面贵，想吃小吃的可以出去再买！,📷拍照打卡点1⃣️ 勐捧路图1机位，很出片，两边的椰林很茂密，一秒置身芭提雅海岸2⃣️中科院植物园图二三机位，各种神奇的植物和盛开的花一秒置身莫奈花园3⃣️基诺山徒步适合和朋友去拍雨林大片，我们因为下雨没拍到阳光，阳光穿过树丛照到溪流边拍照很神奇！4⃣️星光夜市可以拍到曼谷夜市同款画面，很经典的拍照机位5⃣️曼阁水果市场很多水果加上带蓬的摊位，拍照巨出片！立刻置身热带水果世界！6⃣️湄公河江边夜市能看到日落，也能拍夜市大片，推荐！,,💫美食攻略在西双版纳想吃正宗的傣味不要在景区里面寻找，可以去【曼斗村】或者【油乡美食广场】喜欢逛早市不怕麻烦的，本地人极力推荐的橄榄坝集市，但只有每周六限定出摊！,🌳旅游线路推荐day1:中科院植物园-傣族园-星光夜市day2:基诺山徒步-告庄西双景day3:曼阁水果市场-曼听公园-勐捧路-曼斗村day4:傣乡水城-✈️重庆,,还有疑问的小哥哥小姐姐可以留言互动，知道的都会告诉的，麻烦点赞收藏喔！😃,#西双版纳游玩攻略#暑假去哪玩#云南游#西双版纳,https://www.xiaohongshu.com/explore/648836ba0000000027028cb4
普者黑2日超全攻略(暑期篇)价格写在最后,,,,🚗住宿(非广）普者黑朴里全湖景精品客栈优点：名宿的所有房间都是180度全湖景，拥有独立阳台，阳台外是一整片荷塘，整体设计也错，入住房客都有早餐，公交车到达之后可以联系客栈来接缺点：距离商业集中区步行可能需要15分钟,🚄交通：到普者黑站动车1.5小时左右，昆明南站出发1小时左右，出站右转乘坐8路公交1.南站离市区较远，机场坐地铁1.5小时左右2.普者黑高铁站到景区30分钟一班车3.终点是普新桥，中途需下车记得提前给司机说(30分钟+）4.不要去乘坐有轨电车，中途还需要换乘接驳车，且还到不了仙人洞村以及普者黑村,,🛶柳叶小舟/画舫船柳叶小舟往返于蒲草塘与青龙山码头之间，乘船可感受泛舟碧波上，游走田园间的水乡美景，乘小舟几乎逃不过打水仗，即便是你不想加入仍然逃不过别人的水瓢，所以记得提前带好手机防水袋和桶画舫船船比较大，遮阳不暴晒，不想玩泼水的伙伴可以选择画舫船，价格一样1.多涂防晒霜，不然一圈下来晒黑几个度2.买票的时候记得看清楚，买的什么船就只能坐什么船⛰青龙山看日出日落、三生三世取景地以及普者黑村的绝佳地点山路较陡，有一小段接近70度的，30分钟左右，4个观景台视角都不同1.不要穿高跟鞋、裙子2.最好是早上看完日出，吃了早餐直接去坐船，离得比较近，上午没那么晒🏡仙人洞村打造比普者黑村要更加成熟，环境也更好一些🏘普者黑村更加的原生态一些，名宿跟村民楼互相交织，空气中时不时传来一股原生态的牛屎味。这里吃饭购物比较方便1.看日出的伙伴一定要住普者黑村，离青龙山很近,,🍲美食一定要尝试的特色食物是荷花、荷叶、鱼虾以及薄荷。1.园艺餐厅：普新桥边上，临湖，一边吃饭一边看着游船经过，大众92的套餐4个才菜，性价比超高，野菜也很好吃2.田园湖畔：园艺餐厅的对面，推荐他家的小土豆，酸菜藕片，价格比园艺稍贵3.云丽餐厅烧烤火锅：这家我们是在酒店点的外卖，推荐酸牛肉、烤卷粉以及小锅米线4.丽焦咖啡：难得的咖啡店，咖啡偏贵，云南豆还不错，还有一家猪圈咖啡，据说是由猪圈改造出来，遗憾没有尝试,,🎫价格参考1.普通公交5元，空调🚌10元2.游船票单人价格：230，某音双人418，3人套票5903.马车单程5元，村内都可以选择马车出行4.民宿300+，6月底价格700+,,#暑假生活#普者黑#云南游,https://www.xiaohongshu.com/explore/648823b40000000013037016
6-8月要去丽江的女生存下，良心避雷攻略！,🌹6-8月计划来丽江的姐妹，出发之前一定要看这份丽江旅游避坑攻略，攻略涵盖：丽江景点、丽江交通、丽江住宿、丽江美食、丽江必去景点详解以及丽江旅行避坑指南！执此一篇攻略，让你的丽江之行美美哒~,,,🌹丽江住宿推荐①丽江古城：首选，吃住行都方便，交通也便利。行李多的可以选择在古城边上，古城的青石板路以及高低不平的路面真的不适合拖行李②束河古镇：比较安静，游客相对较少③白沙古镇：隐藏在玉龙雪山脚下的一个烟火气十足的古镇，在古镇里抬头就能看到雪山，白沙面积不大，只有一条主街，属于新晋网红古镇,,⚠️Tips:住宿预定之前一定要多对比价格，要看真实的评价跟跟环境。要多平台看价格，不要被大数据❌熟,🌹丽江景点及门票💰🔥玉龙雪山—100🔥泸沽湖—70🔥丽江古城—免费🔥束河古镇—免费🔥白沙古镇—免费🔥拉市海湿地公园—30🔥木府—40🔥玉水寨—35🔥虎跳峡—45🔥丽江千古情—280🔥老君山—70🔥茶马古道—免费🔥东巴谷—30🔥听花谷—120（旺季）80（淡季）🔥狮子山—免费🔥黑龙潭公园—免费🔥观音峡—30,,,🌹丽江景点旅游路线推荐丽江+泸沽湖（5天4夜豪华游）D[一R]丽江接（飞机\高铁）服务+自由活动+入住丽江D[二R]丽江+泸沽湖+里格观景台+情人滩+篝火晚会+入住泸沽湖D[三R]摩梭古村落+猪槽船+登里务比岛+入住丽江D[四R]玉龙雪山+冰川公园+旅拍+蓝月谷+入住丽江D[五R]送（飞机＼高铁） 服务,❤️温馨Tips：云南的景点比较分散，交通换乘非常麻烦，第一次去丽江旅行可以找个当地靠谱的纯玩儿小团，2-8人那种。吃、住、行、景点门票、旅拍、接送交通、保险全部一价搞定，景点深度游，还可以定制私人旅行路线，并且绝对纯玩儿不购物，比自由行还省心、省钱！,🌹想要了解更多云南本地纯玩儿小团的姐妹可以随时揪我,#丽江#丽江旅行#丽江古城#旅游#玉龙雪山#丽江玉龙雪山#旅游攻略#旅行#丽江美食#丽江旅游#云南旅行#丽江旅游攻略#丽江旅游避坑#笔记灵感#丽江旅拍,https://www.xiaohongshu.com/explore/6486e69b000000001300d464
昆明出发1h 藏着温泉私汤酒店⛲️｜亲子旅行⑤⑨,Address：云南/昆明/宜良Time：2023.06.03一江一洞一朵花一鸭一茶一温泉一座文化和自然交相辉映的小城一个山美水美人美的宜居之地👼🏻大家好，我是糯米，我四岁三个月啦，主页更多遛娃分享哦。,,,🏡简介：宜良素有“温泉之乡”的美称，狗街温泉富含多种矿物质。舒筋回血，养身养心，酒店坐落在宜良狗街镇，27个房间，3间一楼房间带院落泡池。⛲️温泉：设有户外泡池13个和男女宾室内泡池各1个，水温38.5左右。🎣休闲：酒店内有鱼塘、围炉煮茶的区域、共享菜园，露营烧烤区域设置在一片核桃林下，遮阴蔽日，好不舒服。目前烧烤可提供4-12人的三种套餐，自带食物200的炭火与清洁费。🥗餐食：住宿含早，午晚餐酒店内可点餐，早餐的包子是宜良有名的面点师制作，品质口感都不错。服务：酒店停车场离前台有段距离，带小孩步行十分钟不到点，提着行李前行困难，可打电话到前台请工作人员来帮忙。,⛳️导航：雲屿汐温泉度假酒店，昆明市区出发高速1h就到。酒店门口有停车场，停车免费。,,🏕️景点：这季的周末两[太阳]一[月亮]，泡完温泉还可以至周边景点游玩：1岩泉寺，宜良八景之一，建于清康熙16年，距今600年，寺院清雅，环境优美。2滇越铁路，这里刻下了中国的百年历史，蜿蜿蜒蜒的米轨铁路背着沉甸甸的的历史。3为君开三角梅盆花基地，一个园林工程有限公司，以三角梅为主题，年产三角梅2000万株，被国内外专家认为是全国蕞大的三角梅企业。4耿家营乡两湾村马蹄湾，是南盘江上游的一条支流，是典型的高原卡斯特地貌高山河谷，河谷边以彩色稻田种植为景，应当下设计稻田主题。,,,,,大家还有哪里想去的地方，告诉我，先去帮大家探路哦。,#周末去哪儿#笔记灵感#城市情报官#昆明周边亲子游#昆明周边温泉#宜良#亲子酒店推荐#昆明周末去哪#昆明遛娃好去处#昆明周边露营#昆明私汤温泉,https://www.xiaohongshu.com/explore/6486a5710000000027003ecc
比和顺更小众｜徐霞客超爱、时光静止的古镇,没去过绮罗古镇之前，和顺一直是我的心头好偶尔间在翡翠大王寸尊福的故居了解到李先和才有了这次绮罗古镇之行这里没有商业，比和顺古镇更小众徐霞客曾来过，还称之为最美记忆之地很适合喜欢历史和人文的爱好者·▪️绮罗古镇·值得去细细品味的地方▪️绮罗古镇不算大，但好几个地方都值得细细逛可以根据自己喜好，慢慢探索,,,,,▪️绮罗古镇·旅行TIPS▪️❶绮罗古镇位于腾冲市区旁，打车公交都可到达❷腾冲已进入雨季，一定要带好雨伞雨衣雨鞋❸腾冲紫外线很强，出门要带好帽子擦防晒❹出门一定要带充电宝，我会有电量焦虑这次带了ROMOSS充电宝，磁吸充电拍照时不挡摄像头，自带线一线三充支持20w快充，苹果安卓自充，免去带线的烦恼❺古镇里都是青石板铺就，一定要穿舒服的鞋子,❶李家大院李先和先生的故居，仍有后人居住清光绪十五年，腾越同知与李先和所建近130年历史，采用腾冲当地最好的紫楸由数十位剑川老师傅花费三年雕琢而成购买门票后，会有专人带你讲解建筑保留很完整，值得一看门票：20元❷水映寺腾冲八大古寺之一，有将近600年历史寺前有河水流过，环境清幽静谧传说中：水映寺、寺映水，水在寺中流这水就在观音殿前，有一处永不枯竭的泉眼❸绮罗图书馆比和顺图书馆还要早10年左右这里没有咖啡馆那种座位、也没有景观位就是那种保存一百多年的很纯粹的图书馆连着来了两次，都没看到开门❹文昌宫算是绮罗古镇的标志性建筑，一直在修缮无法进去参观，始建于明朝万历年间融合了文庙的规制和道教宫观的规制被誉为腾冲当地传统建筑的扛鼎之作❺早市绮罗古镇最不能错过的当属本地的早市跟和顺古镇很像，每天早上7点到12点结束无论是早点、小吃，蔬菜瓜果应有尽有如果你想感受人间烟火，那就一定要去,,,,,绮罗古镇是云南边陲的小镇仿佛是被外面的世界遗忘一般这里保留了最原生态的生活方式却是徐霞客记忆里最爱的地方这里比和顺更小众，也更值得一来！,#云南游#古镇#小众旅行地#腾冲旅游#腾冲#充电宝推荐#绮罗古镇#徐霞客#罗马仕小雪糕#云南旅游#罗马仕磁吸充电宝,https://www.xiaohongshu.com/explore/64859aa00000000027010722
暑假亲子游｜只需1.5小时就能get 的神仙小镇,暑假去哪儿，给你想好了可以去大理、丽江避暑🧊那不要错过这个避世小镇，就在两地之间现在更是开通了高速～🚗离大理1.5小时，离丽江1.3小时☑️这里有一个一日游浓缩版攻略❗️☑️和两天一日游打卡攻略❗️,,,,,,,,,1⃣️【一日游精华版攻略】停车场-🚶-五月念（花墙）-🚶-爱与故食（门口打卡）-🚶-薄荷咖啡（剧中咖啡厅）-🚶-欧阳大院（古建筑）-🚶-四方街（古戏台、兴教寺、阿瑞奶奶的店、有狸杂货铺、文化墙）-🚶-东寨门-🚶-玉津桥-🛺-先锋书店（书店+诗歌塔）-🛺-南寨门-🚶-叁一咖啡（屋顶咖啡视野无敌）-🚶-初见（牛肉巨好吃）-2⃣️【两日游，住一晚更爽】Day 1（打卡古镇内）🚗中午开车到沙溪，1.5小时到达1⃣️北寨门游客中心步行到开满鲜花的五月念，拍花墙2⃣️爱与故食：容纳5人食的定食餐厅3⃣️薄荷咖啡：有风同款，刘亦菲打工的咖啡厅，上午11点开门，下午4～5点打扫后继续营业4⃣️欧阳大院：一个古建筑保护文物5⃣️四方街：这里有古戏台、兴教寺、阿瑞奶奶的店、有狸杂货铺、文化墙，都在这里集中了6⃣️古树：有风里，阿奶摆摊的地方7⃣️叁一咖啡：沙溪拍房顶的好地方8⃣️初见餐厅：牛肉巨好吃～提前打电话预约9⃣️东寨门：外面的广场有篝火晚会-Day 2（打卡古镇外）1⃣️古镇清晨！没人！随便拍！🚗可以打小黄车出发，15～20一台车2⃣️宇宙面包+半山咖啡两个店都在华龙村，坐车步行过去都方便3⃣️先锋书店+诗歌塔这个在北龙村，买纪念品、喝咖啡、盖章、打卡李现同款～回来退房，顺便买4⃣️芗12：好吃的网红汉堡～🚗可以在回大理途中，绕路5分钟，去往旁边灯塔村的山风院子5⃣️山风院子：树屋小院童话世界下午4点多回到大理～,,凉快、安静、美食、拍照如果安排云南行，这里不应该错过,#大理亲子游#大理旅游#云南亲子游#沙溪古镇#大理旅游攻略#沙溪古镇旅游攻略#云南旅行#大理旅行#沙溪#去有风的地方#暑假去哪玩#暑假亲子游#端午小长假,https://www.xiaohongshu.com/explore/64884e2a000000002702af34
昆明藏着一个油画般的“江南水乡”门票0元‼️,大自然是有力量的没有什么人间疾苦是它治愈不了的越长大越喜欢山川湖海这样真实的“小桥、流水、人家”竟然就藏在昆明不是江南胜似江南……仿佛油画里的世界美得有点不真实～这是一座南北走向的单孔桥、石板路有些年份了横跨宝象河全长25m被绿树环绕夏天太适合乘凉、聊聊家长里短好多小姐姐来拍照打卡非常适合拍汉服之类的条件允许避开周末，人多【‼️拍照注意安～全】,,,,,,📍安流桥🚕交通❶自驾❷地铁：地铁🚇4号线到羊浦头D口出步行1km左右可到,,,,,,#昆明拍照#昆明吃喝玩乐#昆明旅游#昆明小众打卡点#周末去哪儿#周末遛娃#昆明旅行#云南旅游,https://www.xiaohongshu.com/explore/6486dfa50000000027012e71
云南旅游💥攻略大全，😭终于看懂了....,奉劝各个姐妹👭一句，去云南旅游之前一定要看好攻略‼️，这篇简单明了的攻略就给大家参考啦，记得💗点赞收藏起来哦,📝出行前的准备📝✅证件:身份证、学生证✅电器:充电线、充电宝、手机、耳机✅药品:感冒药、肠胃药、创可贴、晕车药、高反药✅衣物:春季的衣服、运动鞋、墨镜、帽子✅化妆护肤品:水乳面霜、防晒霜、卸妆油、洗面奶、补水面膜、沐浴露✅出门前注意:关门、关窗、倒垃圾、关电源,🔆天气参考🔆🌱6月天气:18-26度晴天为主，晚上降温有点快🌱7月天气:20-31度白天气温高，注意防紫外线🌱8月天气:20-32度晴朗多云，紫外线照射强烈,,,,,,必去美食街💗大理：人民路、洋人街、复兴路💗丽江：四方街、七星街、忠义市场、丽江水果市场、束河美食街💗昆明：顺城街、景新街、市区西南商业大厦💗香格里拉：向阳路农贸综合市场、独克宗古城、结达木景区💗西双版纳：江边夜市小吃街、东方美食街、金街,🌸行程路线分享🌸Day1：出发云南一昆明一昆明老街，住昆明Day2：昆明一石林景区，住楚雄Day3：洱海一花海一大理古城，住大理Day4：玉龙雪山一蓝月谷一丽水金沙一丽江古城，住丽江Day5：束河古镇一茶马古道一返回昆明，住昆明Day6：昆明一返程回家,,有更多问题可以去后台踢💗我哦,#旅游攻略#云南#云南旅游攻略#云南旅游#旅游,https://www.xiaohongshu.com/explore/64871b530000000011010f4e
🏝云南西双版纳| 休闲版🌟超全图文攻略,关于西双版纳：⚠️每个景点隔得非常远，建议包🚘，师傅买🎫有折！🚶🏻线路都给你们总结好了，餐厅也🈶‼️带好身份证，去野象谷边境👮🏻会查👗去版纳真的不用多带衣服，傣妹服只要50-80,,,,,,1️⃣首站：星光夜市 游玩时间：2h下午/晚上✈️可以先冲星光夜市，早班建议从第二站开始▪️营业时间持续至01:00左右▪️各色小摊贩，一定要会砍J🌟适合拍照，吃饭的话可以去隔壁曼斗-2️⃣第二站：野象谷 游玩时间：2h🎫如果包🚘直接让司机定，他们有折扣价▪️在大象食堂喂🐘吃胡萝卜▪️搭缆车和野象📸（缆车来回68）-3️⃣第三站：曼听公园 游玩时间：2h门口有很多店可以做妆造，买傣妹装的话50-80🚶🏻 游玩路线：入口→荷花池→咖啡馆→白塔→总佛寺．▪️整个环境非常出片，去了曼听公园（中科去不去都无所谓▪️园内有摄影 100就可以跟拍，说实话拍的还不错🌟这里不用电瓶车，因为绿植很多完全不会热-4️⃣第四站：勐泐大佛寺 游玩时间：1h这里面积超大！从🔝往下走才不会累🚶🏻山顶公园→景飘大殿→吉祥大佛🌟乘坐电瓶车至山顶，一点点往下走，感兴趣的停留步行‼️注意电瓶车哪里下车哪里上🚎电瓶车：往返60/人,,🍊mamalao老挝烤肉糯米饭五花肉，茄子还有豆角都超好吃！还有粉！▪️糯米饭可以自己选小料搭配▪️早上7:45去排队，这样首批就能吃上🍊婉泰哪家都好吃！尤其是椰子冰沙▪️可以外卖▪️中午/下午都不怎么排队🍊春武里版纳网红天花板‼️和mamalao一个老板，但真的很好吃！我有单独写一篇，可以翻之前的笔记▪️环境好，菜品是我版纳zui爱！米粉一定要点！还有鸡翅，烤虾▪️中午去人比较少，10点30就可以侯着了懒得排队 🌸80也有D排的🍊想吃烧烤的去曼斗一条街▪️反正哪家人多去哪家，别去那种东北味很重的,特种兵们如果只有一天的时间🚗路线建议：mamalao老挝烤肉糯米饭→野象谷→大佛寺→婉泰→曼听公园→春武里,,,#以毕业之名出发#西双版纳#云南#云南旅游#云南西双版纳,https://www.xiaohongshu.com/explore/6487e4c20000000011013d79
